new entry "Spjm_SpelljammerHelm_TemplateStats"
type "Character"
data "Level" "12"
data "Strength" "1"
data "Dexterity" "1"
data "Constitution" "1"
data "Intelligence" "1"
data "Wisdom" "1"
data "Charisma" "1"
data "Armor" "18"
data "Vitality" "46"
data "Sight" "0"
data "Hearing" "0"
data "FOV" "0"
data "VerticalFOV" "0"
data "Weight" "75"
data "Flags" "SlippingImmunity;IgnoreClouds;ThrownImmunity;InvisibilityImmunity;InvulnerableAndInteractive;BackstabImmunity"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "ForceResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
data "Proficiency Group" "None"

